Travis Hamonic,1392,6,15,109,143,136,0.1715158
Rasmus Sandin,1372,7,28,136,87,81,0.1701895
Joe Veleno,1035,9,11,152,44,85,0.1700483
Rasmus Andersson,1903,11,38,50,136,159,0.16999474
Logan O'Connor,1165,9,17,116,50,104,0.16952789
Jake Walman,1242,9,9,47,121,140,0.16888083
Connor Clifton,1393,5,18,208,120,93,0.16870064
K'Andre Miller,1734,9,34,162,105,113,0.16839677
Max Comtois,884,9,10,81,27,89,0.16826923
Zemgus Girgensons,1038,10,8,96,49,114,0.16811175
Adam Larsson,1938,8,25,222,173,143,0.16744066
Ty Dellandrea,1164,9,19,125,39,92,0.16688144
Devon Toews,2009,7,43,93,138,165,0.16687406
Brock McGinn,978,12,7,84,43,91,0.16666666
Adam Boqvist,857,5,19,23,47,68,0.16656942
MacKenzie Weegar,1709,4,27,186,117,160,0.16617905
Christian Dvorak,1079,10,18,13,66,88,0.16612604
Jonathan Drouin,865,2,27,29,23,69,0.16560693
Noah Cates,1457,13,25,86,65,107,0.16540837
Ryan Graves,1556,8,18,83,152,141,0.16532776
Sam Steel,972,10,18,46,15,85,0.16512345
Gustav Forsling,1922,13,28,69,106,209,0.16506243
Denis Gurianov,871,7,10,43,27,116,0.16504018
Martin Fehérváry,1340,6,10,217,128,91,0.1647388
Jake McCabe,1480,3,22,163,151,96,0.16469594
Jordan Greenway,837,6,5,107,39,99,0.16457586
Ryan Strome,1397,15,26,29,24,130,0.16445955
Nick Bonino,987,10,9,19,79,91,0.16388044
Nicklaus Perbix,1062,5,15,73,65,111,0.1636064
Kevin Shattenkirk,1448,4,23,79,115,145,0.16350138
John Klingberg,1382,10,23,55,84,112,0.16335021
Neal Pionk,1799,10,23,169,129,142,0.16217342
Noah Hanifin,1834,7,31,76,129,176,0.16139585
Brady Skjei,1766,18,20,71,62,188,0.16067383
Peyton Krebs,1024,9,17,93,20,78,0.1599121
Radek Faksa,1111,11,9,89,69,88,0.15954095
Lars Eller,1243,10,13,93,42,140,0.15949316
Braden Schneider,1273,5,13,147,130,79,0.15926944
Tomáš Nosek,828,7,11,69,31,69,0.15911835
Matthew Nieto,1096,12,12,43,32,115,0.15898722
Kaiden Guhle,903,4,14,84,77,48,0.15891472
Jeremy Lauzon,1128,3,9,250,75,77,0.15868794
Justin Schultz,1299,7,27,30,72,98,0.1578137
Jesper Fast,1179,10,19,104,40,76,0.15776081
Alexander Romanov,1478,2,20,198,129,100,0.15764546
Marcus Pettersson,1400,1,23,133,131,96,0.15732142
Pius Suter,1111,14,10,39,37,106,0.15684068
Pat Maroon,828,5,9,172,12,62,0.15640096
Sean Walker,1038,3,10,77,104,94,0.15582851
Andrew Cogliano,997,10,9,55,54,85,0.15571715
Jakob Silfverberg,1230,10,16,10,51,141,0.15569105
Samuel Girard,1634,6,31,67,116,119,0.15559975
